"clone","BLUP_in_vitro_area_L1","BLUP_in_vitro_area_ave","BLUP_in_vitro_area_L2","BLUP_in_vitro_NC_ave","BLUP_in_vitro_NC_L1","BLUP_in_vitro_NC_L2","BLUP_stake_area_ave","BLUP_stake_area_L1","BLUP_stakes_area_L2","BLUP_stake_NC_ave","BLUP_stake_NC_L1","BLUP_stakes_NC_L2"
"AM1588-200",4.2564,3.2762,2.1127,1649.03,2022.81,1154.06,1.67362,1.68506,1.86556,930.6,958.91,1060.3
"AM1588-202",6.2408,3.9242,1.4927,1397.01,1942.44,864.7,2.8198,2.90245,2.55767,1878.44,1774.57,1798.6
"AM1588-203",8.3627,8.286,8.1919,2040.3,2042.84,1686.57,2.85031,2.92685,2.52639,1582.91,1586.76,1488.05
"AM1588-204",5.6297,4.8617,4.0736,1991.81,2131.3,1578.96,2.26753,2.26865,2.26998,1295.06,1381.57,1238.04
"AM1588-206",2.1836,1.6612,1.0835,978.21,1415.91,771.26,0.71402,0.9342,1.02579,452.3,595.75,640.57
"AM1588-207",11.2644,9.4348,7.5909,2434.37,2301.02,1962.44,4.34828,4.2739,3.72507,2536.23,2521.95,2134.42
"AM1588-208",4.1051,3.0272,1.8715,1197.3,1573.93,904.27,1.08234,1.28032,1.29193,852.28,974.88,918.11
"AM1588-21",1.3205,0.9513,0.5659,859.41,1384.94,672.19,0.28876,0.44949,0.4581,294.65,388.28,390.36
"AM1588-210",7.6458,7.1564,6.6097,2957.29,2822.82,2066.55,2.74958,2.77974,2.56194,1693.56,1603.43,1666.32
"AM1588-211",5.2069,3.6859,2.2444,1448.5,1883.49,1006.67,2.6046,2.46659,2.62879,1897.04,1659.25,1940.96
"AM1588-212",9.8339,8.1858,6.7068,3123.79,3127.91,2214.34,2.94562,2.9111,2.75488,1861.31,1868.12,1679.82
"AM1588-213",4.0366,2.9541,1.6405,1614.74,2140.2,971.03,1.60246,1.70654,1.72844,1228.58,1271.87,1237.36
"AM1588-214",4.8936,4.1088,3.3027,1696.98,1981.74,1285.98,6.17718,5.25462,5.76241,3034.61,2383.81,3074.73
"AM1588-215",3.1767,2.1412,1.0429,1022.29,1524.78,788.68,1.37213,1.64081,1.4158,729.98,954.34,740.37
"AM1588-216",3.2725,2.918,2.548,1667.02,1908.7,1338.92,1.81296,1.97288,1.81406,1192,1324.35,1127.13
"AM1588-217",8.7203,6.2646,3.7787,2498.74,2760.15,1477.7,1.23233,1.63297,1.5936,797.36,998.16,1030.96
"AM1588-218",6.1622,5.9161,5.6372,1409.93,1685.76,1189.37,2.46741,2.66875,2.20852,1397.7,1530.76,1258.72
"AM1588-222",3.1536,2.6358,2.0757,1435.87,1754.79,1146.98,1.44603,1.62772,1.54926,929.97,1022.1,997.75
"AM1588-223",6.9,5.5442,4.1226,2214.33,2316.44,1605.7,2.30345,2.72795,1.88314,1409.75,1561.66,1248.12
"AM1588-225",4.0482,3.7809,3.5385,1577.14,1742.1,1386.69,1.72781,1.94667,1.74017,1270.07,1342.46,1244.2
"AM1588-226",5.2509,2.3514,0.5287,1063.3,1600.93,968.33,2.19765,2.34803,2.0788,1043.81,1115.12,1091.24
"AM1588-227",6.3705,6.0809,5.8184,2857.19,2808.01,2233.46,0.87856,1.19726,1.03949,607.26,747.58,743.28
"AM1588-228",3.7569,3.3138,2.8401,1959.63,2128.3,1465.43,2.84769,2.92657,2.53881,1825.8,1830.62,1626.15
"AM1588-229",4.5528,3.9919,3.4599,1774.18,1977.89,1398.54,1.86627,1.89041,1.98118,1122.66,1102.49,1231.03
"AM1588-23",2.9797,2.3792,1.801,1169.64,1509.99,939.44,0.66171,0.95762,1.03406,565.03,669.72,811.32
"AM1588-230",7.8204,7.1977,6.591,3031.58,2719.38,2437.72,1.09407,1.31726,1.27527,726.59,855.17,831.46
"AM1588-231",1.0976,0.7036,0.2509,1011.16,1560.73,959.51,1.49414,1.40381,1.84509,973.52,919.59,1167.97
"AM1588-232",9.1362,7.8011,6.2022,2947.06,2879.53,1982.62,0.7699,1.19242,0.86664,593.62,870.09,601.94
"AM1588-233",0.077,0.0681,0.0603,709.66,1299.71,776.57,1.28512,1.46306,1.39611,712.49,855.34,773.19
"AM1588-236",3.7847,4.4028,5.1868,1688.08,1765.67,1519.17,1.92499,1.86759,2.09928,1075.73,1027.71,1227.96
"AM1588-237",6.5312,5.4748,4.2247,2004.58,2294.71,1327.9,3.91421,3.93117,3.34819,2057.29,1913.76,1952.24
"AM1588-238",3.6793,4.1772,4.7142,1665.09,1748.31,1501.1,3.5713,3.53336,3.39909,1868.29,1810.33,1836.36
"AM1588-239",3.218,2.4096,1.5342,1157.05,1619.34,852.55,2.72208,3.01652,2.30887,1955.11,2066.14,1668.2
"AM1588-24",0.8114,0.7463,0.6932,679.79,1141.05,721.55,0.42368,0.54336,0.67389,321.82,382.61,483.17
"AM1588-25",4.8461,2.8003,1.0096,1018.68,1562.58,699.41,0.64454,0.84824,0.76861,521.3,652.69,570.88
"AM1588-26",3.6198,2.5996,1.9685,801.12,1353.77,831.43,3.85859,3.87498,3.39153,1848.22,2034.33,1520.49
"AM1588-27",0.0432,0.0422,0.0411,961.64,1522.34,951.41,3.50023,2.97313,3.60101,2065.64,1768.6,2107.08
"AM1588-28",6.8035,6.0399,5.3145,2058.26,2221.27,1579.45,2.78421,2.97424,2.45499,1852.84,1973.71,1587.49
"AM1588-29",7.1686,5.9374,4.7524,2923.15,3118.66,2110.4,2.08103,1.83866,2.38233,1401.72,1242.91,1545.49
"AM1588-3",10.863,8.7382,7.2183,2282.59,2254.55,1688.59,1.1376,1.3905,1.21769,585.71,746.19,667.81
"AM1588-30",4.1659,3.9489,3.7522,1566.85,1708.59,1394.97,3.4062,3.38414,3.10591,2272.02,2134.67,2131.32
"AM1588-34",9.5656,8.2802,7.4597,1784.49,1813.1,1595.37,2.62143,2.63152,2.51408,1928.41,1865.46,1819.7
"AM1588-36",2.3625,1.7044,1.2064,789.38,1188.19,724.72,2.46893,2.57477,2.32895,2039.76,2110.73,1826.96
"AM1588-37",3.16,2.7248,2.3073,1028.75,1422.06,920.57,1.86549,2.23838,1.62063,1549.8,1581.61,1463.86
